Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 05/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 04/Septiembre/2020 15:07:09 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,712.61,655.48,57.13,0
2,01AAN-85,705.4,649.88,55.52,0
3,01AAN-85,675.23,624.06,51.17,0
4,01AAN-85,669.88,618.42,51.46,0
5,01AAN-85,650.2,604.51,45.69,0
6,01AAN-85,656.28,603.97,52.31,0
7,01AAN-85,692.04,636.64,55.4,0
8,01AAN-85,684.02,627.85,56.17,0
9,01AAN-85,638.73,584.34,54.38,0
10,01AAN-85,619.4,563.6,56.96,-1.16
11,01AAN-85,594.54,544.97,57.93,-8.35
12,01AAN-85,593.11,545.44,57.54,-9.87
13,01AAN-85,650.76,590.72,63.81,-3.76
14,01AAN-85,613.25,562.13,57.71,-6.59
15,01AAN-85,593.79,545.56,56.65,-8.43
16,01AAN-85,611.34,561.97,57.25,-7.88
17,01AAN-85,675.34,612.5,63.7,-.86
18,01AAN-85,638.76,579.78,60.49,-1.52
19,01AAN-85,664.15,602.86,61.29,0
20,01AAN-85,679.29,616.2,63.09,0
21,01AAN-85,748.48,673.37,75.12,0
22,01AAN-85,745.45,668.14,77.31,0
23,01AAN-85,713.86,644.58,69.28,0
24,01AAN-85,689.32,625.86,63.46,0
1,01AAP-85,689.68,655.48,34.2,0
2,01AAP-85,687.16,649.88,37.28,0
3,01AAP-85,658.65,624.06,34.59,0
4,01AAP-85,654.53,618.42,36.11,0
5,01AAP-85,636.5,604.51,31.99,0
6,01AAP-85,640.39,603.97,36.43,0
7,01AAP-85,674.63,636.64,37.99,0
8,01AAP-85,666.67,627.85,38.82,0
9,01AAP-85,620.53,584.34,36.19,0
10,01AAP-85,612.26,563.6,39.25,9.41
11,01AAP-85,654.23,544.97,40.59,68.68
12,01AAP-85,666.68,545.44,40.1,81.14
13,01AAP-85,667.01,590.72,45.35,30.94
14,01AAP-85,656.63,562.13,40.36,54.14
15,01AAP-85,653.68,545.56,38.85,69.27
16,01AAP-85,661.77,561.97,39.41,60.38
17,01AAP-85,662.71,612.5,43.65,6.56
18,01AAP-85,634.18,579.78,42.88,11.52
19,01AAP-85,644.89,602.86,42.03,0
20,01AAP-85,655.6,616.2,39.39,0
21,01AAP-85,715.73,673.37,42.36,0
22,01AAP-85,710.81,668.14,42.67,0
23,01AAP-85,683.9,644.58,39.32,0
24,01AAP-85,664.71,625.86,38.85,0
1,01ACC-85,680.87,655.48,25.39,0
2,01ACC-85,677.55,649.88,27.67,0
3,01ACC-85,649.77,624.06,25.71,0
4,01ACC-85,645.22,618.42,26.8,0
5,01ACC-85,626.38,604.51,21.87,0
6,01ACC-85,631.14,603.97,27.18,0
7,01ACC-85,664.86,636.64,28.22,0
8,01ACC-85,656.75,627.85,28.9,0
9,01ACC-85,611.16,584.34,26.81,0
10,01ACC-85,602.59,563.6,29.72,9.27
11,01ACC-85,643.97,544.97,31.27,67.73
12,01ACC-85,656.58,545.44,31.12,80.02
13,01ACC-85,656.64,590.72,35.41,30.51
14,01ACC-85,646.16,562.13,30.64,53.39
15,01ACC-85,643.61,545.56,29.74,68.31
16,01ACC-85,652.01,561.97,30.42,59.62
17,01ACC-85,653.03,612.5,34.05,6.48
18,01ACC-85,624.36,579.78,33.21,11.37
19,01ACC-85,635.14,602.86,32.27,0
20,01ACC-85,646.92,616.2,30.72,0
21,01ACC-85,705.84,673.37,32.47,0
22,01ACC-85,701.47,668.14,33.33,0
23,01ACC-85,674.16,644.58,29.58,0
24,01ACC-85,654.99,625.86,29.13,0
1,01ACM-85,680.16,655.48,24.69,0
2,01ACM-85,677.06,649.88,27.18,0
3,01ACM-85,649.39,624.06,25.33,0
4,01ACM-85,644.9,618.42,26.49,0
5,01ACM-85,626.27,604.51,21.77,0
6,01ACM-85,630.65,603.97,26.68,0
7,01ACM-85,664.05,636.64,27.42,0
8,01ACM-85,655.95,627.85,28.1,0
9,01ACM-85,610.54,584.34,26.2,0
10,01ACM-85,601.36,563.6,29.01,8.75
11,01ACM-85,639.34,544.97,30.47,63.91
12,01ACM-85,651.17,545.44,30.23,75.5
13,01ACM-85,653.87,590.72,34.36,28.79
14,01ACM-85,642.28,562.13,29.78,50.38
15,01ACM-85,638.77,545.56,28.76,64.45
16,01ACM-85,647.7,561.97,29.51,56.22
17,01ACM-85,651.63,612.5,33.02,6.11
18,01ACM-85,622.88,579.78,32.37,10.72
19,01ACM-85,634.21,602.86,31.35,0
20,01ACM-85,645.77,616.2,29.57,0
21,01ACM-85,704.71,673.37,31.35,0
22,01ACM-85,700.32,668.14,32.18,0
23,01ACM-85,673.16,644.58,28.58,0
24,01ACM-85,654.11,625.86,28.25,0
1,01ACN-85,681.96,655.48,26.48,0
2,01ACN-85,678.91,649.88,29.02,0
3,01ACN-85,651.04,624.06,26.98,0
4,01ACN-85,646.59,618.42,28.17,0
5,01ACN-85,627.89,604.51,23.39,0
6,01ACN-85,632.35,603.97,28.38,0
7,01ACN-85,665.92,636.64,29.29,0
8,01ACN-85,657.89,627.85,30.04,0
9,01ACN-85,612.41,584.34,28.07,0
10,01ACN-85,603.71,563.6,30.98,9.13
11,01ACN-85,644.1,544.97,32.48,66.66
12,01ACN-85,656.45,545.44,32.26,78.76
13,01ACN-85,657.36,590.72,36.61,30.03
14,01ACN-85,646.58,562.13,31.9,52.55
15,01ACN-85,643.58,545.56,30.79,67.23
16,01ACN-85,652.14,561.97,31.5,58.66
17,01ACN-85,654.04,612.5,35.17,6.38
18,01ACN-85,625.31,579.78,34.33,11.19
19,01ACN-85,636.15,602.86,33.29,0
20,01ACN-85,647.66,616.2,31.45,0
21,01ACN-85,706.68,673.37,33.31,0
22,01ACN-85,702.18,668.14,34.03,0
23,01ACN-85,674.96,644.58,30.38,0
24,01ACN-85,655.95,625.86,30.08,0
1,01ACO-230,673.48,655.48,18,0
2,01ACO-230,670.46,649.88,20.58,0
3,01ACO-230,642.99,624.06,18.93,0
4,01ACO-230,638.48,618.42,20.06,0
5,01ACO-230,618.79,604.51,14.29,0
6,01ACO-230,624.29,603.97,20.32,0
7,01ACO-230,657.34,636.64,20.7,0
8,01ACO-230,649.1,627.85,21.25,0
9,01ACO-230,603.87,584.34,19.53,0
10,01ACO-230,586.67,563.6,22.01,1.06
11,01ACO-230,576.66,544.97,23.87,7.83
12,01ACO-230,578.3,545.44,23.61,9.25
13,01ACO-230,621.75,590.72,27.51,3.53
14,01ACO-230,591.03,562.13,22.74,6.17
15,01ACO-230,575.72,545.56,22.27,7.9
16,01ACO-230,591.32,561.97,22.89,6.46
17,01ACO-230,639.32,612.5,26.13,.7
18,01ACO-230,606.52,579.78,25.52,1.22
19,01ACO-230,627.21,602.86,24.35,0
20,01ACO-230,639.44,616.2,23.24,0
21,01ACO-230,697.31,673.37,23.94,0
22,01ACO-230,693.47,668.14,25.33,0
23,01ACO-230,666.14,644.58,21.56,0
24,01ACO-230,646.86,625.86,21,0
1,01ACS-230,672.05,655.48,16.58,0
2,01ACS-230,668.97,649.88,19.09,0
3,01ACS-230,641.6,624.06,17.54,0
4,01ACS-230,637.19,618.42,18.77,0
5,01ACS-230,617.37,604.51,12.87,0
6,01ACS-230,622.87,603.97,18.9,0
7,01ACS-230,655.7,636.64,19.07,0
8,01ACS-230,647.63,627.85,19.78,0
9,01ACS-230,602.57,584.34,18.23,0
10,01ACS-230,582.87,563.6,20.55,-1.28
11,01ACS-230,558.09,544.97,22.4,-9.27
12,01ACS-230,556.74,545.44,22.25,-10.95
13,01ACS-230,612.26,590.72,25.72,-4.18
14,01ACS-230,575.91,562.13,21.1,-7.31
15,01ACS-230,556.91,545.56,20.7,-9.35
16,01ACS-230,574.46,561.97,21.21,-8.72
17,01ACS-230,635.53,612.5,23.98,-.96
18,01ACS-230,601.49,579.78,23.39,-1.68
19,01ACS-230,625.04,602.86,22.17,0
20,01ACS-230,637.34,616.2,21.13,0
21,01ACS-230,695.13,673.37,21.76,0
22,01ACS-230,691.53,668.14,23.39,0
23,01ACS-230,664.35,644.58,19.77,0
24,01ACS-230,645.38,625.86,19.51,0
1,01AGU-230,681.9,655.48,26.43,0
2,01AGU-230,679.23,649.88,29.35,0
3,01AGU-230,651.18,624.06,27.12,0
4,01AGU-230,646.97,618.42,28.56,0
5,01AGU-230,628.48,604.51,23.97,0
6,01AGU-230,632.89,603.97,28.92,0
7,01AGU-230,666.62,636.64,29.98,0
8,01AGU-230,658.62,627.85,30.77,0
9,01AGU-230,612.93,584.34,28.59,0
10,01AGU-230,604.26,563.6,31.72,8.94
11,01AGU-230,643.54,544.97,33.31,65.27
12,01AGU-230,655.6,545.44,33.05,77.11
13,01AGU-230,657.81,590.72,37.69,29.41
14,01AGU-230,646.56,562.13,32.98,51.45
15,01AGU-230,643.33,545.56,31.94,65.83
16,01AGU-230,651.81,561.97,32.46,57.38
17,01AGU-230,654.95,612.5,36.21,6.24
18,01AGU-230,626.25,579.78,35.52,10.94
19,01AGU-230,637.38,602.86,34.52,0
20,01AGU-230,648.71,616.2,32.51,0
21,01AGU-230,707.85,673.37,34.48,0
22,01AGU-230,703.45,668.14,35.31,0
23,01AGU-230,676.37,644.58,31.79,0
24,01AGU-230,657.3,625.86,31.44,0
1,01AGV-85,688.35,655.48,32.88,0
2,01AGV-85,684.58,649.88,34.7,0
3,01AGV-85,655.8,624.06,31.73,0
4,01AGV-85,651.2,618.42,32.79,0
5,01AGV-85,630.92,604.51,26.41,0
6,01AGV-85,637.13,603.97,33.17,0
7,01AGV-85,671.58,636.64,34.95,0
8,01AGV-85,663.48,627.85,35.62,0
9,01AGV-85,617.7,584.34,33.36,0
10,01AGV-85,613.95,563.6,36.01,14.35
11,01AGV-85,687.6,544.97,37.91,104.73
12,01AGV-85,707.08,545.44,37.91,123.73
13,01AGV-85,681.32,590.72,43.42,47.18
14,01AGV-85,682.56,562.13,37.88,82.56
15,01AGV-85,688.23,545.56,37.05,105.63
16,01AGV-85,692.45,561.97,37.95,92.52
17,01AGV-85,665.21,612.5,42.65,10.06
18,01AGV-85,638.7,579.78,41.27,17.65
19,01AGV-85,643.63,602.86,40.76,0
20,01AGV-85,657.3,616.2,41.1,0
21,01AGV-85,719.32,673.37,45.95,0
22,01AGV-85,715.48,668.14,47.34,0
23,01AGV-85,685.85,644.58,41.27,0
24,01AGV-85,663.77,625.86,37.91,0
1,01AIN-115,684.32,655.48,28.85,0
2,01AIN-115,681.66,649.88,31.78,0
3,01AIN-115,654.8,624.06,30.73,0
4,01AIN-115,650.84,618.42,32.42,0
5,01AIN-115,634.33,604.51,29.82,0
6,01AIN-115,637.26,603.97,33.3,0
7,01AIN-115,670.45,636.64,33.81,0
8,01AIN-115,663.27,627.85,35.42,0
9,01AIN-115,617.98,584.34,33.64,0
10,01AIN-115,607.57,563.6,37.79,6.18
11,01AIN-115,628.91,544.97,38.82,45.12
12,01AIN-115,637.07,545.44,38.32,53.31
13,01AIN-115,654.09,590.72,43.05,20.33
14,01AIN-115,636.11,562.13,38.41,35.57
15,01AIN-115,627.84,545.56,36.77,45.51
16,01AIN-115,638.42,561.97,37.12,39.32
17,01AIN-115,657.35,612.5,40.58,4.27
18,01AIN-115,627.3,579.78,40.02,7.5
19,01AIN-115,642.1,602.86,39.23,0
20,01AIN-115,652.24,616.2,36.04,0
21,01AIN-115,712.48,673.37,39.11,0
22,01AIN-115,707.99,668.14,39.85,0
23,01AIN-115,680.58,644.58,36,0
24,01AIN-115,662.7,625.86,36.83,0
1,01ALR-85,680.88,655.48,25.4,0
2,01ALR-85,677.73,649.88,27.85,0
3,01ALR-85,650.01,624.06,25.95,0
4,01ALR-85,645.5,618.42,27.09,0
5,01ALR-85,626.86,604.51,22.36,0
6,01ALR-85,631.25,603.97,27.28,0
7,01ALR-85,664.67,636.64,28.04,0
8,01ALR-85,656.57,627.85,28.72,0
9,01ALR-85,611.14,584.34,26.8,0
10,01ALR-85,601.96,563.6,29.61,8.75
11,01ALR-85,639.94,544.97,31.07,63.91
12,01ALR-85,651.78,545.44,30.84,75.5
13,01ALR-85,654.53,590.72,35.02,28.79
14,01ALR-85,642.92,562.13,30.41,50.38
