Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 01/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 31/Agosto/2020 15:45:56 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,643.59,616.06,57.23,-29.71
2,01AAN-85,627.65,608.75,52.81,-33.9
3,01AAN-85,613.16,593.1,51.57,-31.51
4,01AAN-85,624.69,596.45,50,-21.76
5,01AAN-85,632.86,598.4,49.99,-15.53
6,01AAN-85,631.16,595.35,50.94,-15.12
7,01AAN-85,615.11,596.83,54.67,-36.4
8,01AAN-85,609.57,573.41,53.08,-16.91
9,01AAN-85,614.38,576.71,54.69,-17.02
10,01AAN-85,628.06,585.35,59.75,-17.04
11,01AAN-85,611.02,575.6,52.55,-17.13
12,01AAN-85,612.02,577.22,51.84,-17.04
13,01AAN-85,619.74,584.21,52.05,-16.52
14,01AAN-85,618.01,584.5,50.82,-17.3
15,01AAN-85,615.69,582,50.78,-17.09
16,01AAN-85,634.29,592.39,59.05,-17.16
17,01AAN-85,648.07,606.1,58.69,-16.73
18,01AAN-85,639.9,597.51,58.5,-16.1
19,01AAN-85,622.93,583.41,56.45,-16.92
20,01AAN-85,622.63,599.06,59.61,-36.03
21,01AAN-85,652.48,617.8,67.4,-32.71
22,01AAN-85,659.56,628.64,70.05,-39.13
23,01AAN-85,650.79,623.8,65.76,-38.77
24,01AAN-85,636.33,614.04,58.57,-36.28
1,01AAP-85,885.01,616.06,43.42,225.53
2,01AAP-85,907.2,608.75,41.14,257.32
3,01AAP-85,873.22,593.1,40.96,239.16
4,01AAP-85,801.83,596.45,40.19,165.19
5,01AAP-85,756.51,598.4,40.2,117.91
6,01AAP-85,751.33,595.35,41.21,114.77
7,01AAP-85,916.68,596.83,43.58,276.26
8,01AAP-85,954.53,573.41,39.18,341.94
9,01AAP-85,959.41,576.71,38.32,344.38
10,01AAP-85,947.15,585.35,43.21,318.59
11,01AAP-85,938.67,575.6,43.12,319.95
12,01AAP-85,935.5,577.22,41.75,316.53
13,01AAP-85,932.7,584.21,41.66,306.83
14,01AAP-85,946.29,584.5,40.43,321.36
15,01AAP-85,964.52,582,40.58,341.94
16,01AAP-85,976.5,592.39,40.76,343.35
17,01AAP-85,981.34,606.1,40.66,334.58
18,01AAP-85,963.66,597.51,40.25,325.91
19,01AAP-85,964.46,583.41,38.84,342.22
20,01AAP-85,917.01,599.06,44.46,273.5
21,01AAP-85,911.76,617.8,45.67,248.3
22,01AAP-85,967.91,628.64,42.24,297.03
23,01AAP-85,958.77,623.8,40.67,294.3
24,01AAP-85,928.47,614.04,39.08,275.35
1,01ACC-85,871.78,616.06,33.05,222.67
2,01ACC-85,893.93,608.75,31.13,254.05
3,01ACC-85,860.31,593.1,31.09,236.12
4,01ACC-85,789.72,596.45,30.17,163.1
5,01ACC-85,744.93,598.4,30.12,116.41
6,01ACC-85,739.86,595.35,31.2,113.31
7,01ACC-85,902.77,596.83,33.18,272.76
8,01ACC-85,945.54,573.41,30.31,341.82
9,01ACC-85,949.88,576.71,29.23,343.94
10,01ACC-85,954.87,585.35,32.95,336.57
11,01ACC-85,946.59,575.6,32.99,338.01
12,01ACC-85,943.9,577.22,32.28,334.4
13,01ACC-85,940.3,584.21,31.94,324.15
14,01ACC-85,955.09,584.5,31.09,339.51
15,01ACC-85,955.31,582,31.45,341.86
16,01ACC-85,966.74,592.39,31.07,343.27
17,01ACC-85,971.37,606.1,30.82,334.45
18,01ACC-85,953.87,597.51,30.57,325.79
19,01ACC-85,955.27,583.41,29.77,342.1
20,01ACC-85,903.08,599.06,34,270.03
21,01ACC-85,897.57,617.8,34.63,245.15
22,01ACC-85,954.48,628.64,32.57,293.26
23,01ACC-85,945.11,623.8,30.74,290.57
24,01ACC-85,915.25,614.04,29.36,271.85
1,01ACM-85,858.33,616.06,32.31,209.95
2,01ACM-85,878.68,608.75,30.39,239.55
3,01ACM-85,846.22,593.1,30.48,222.64
4,01ACM-85,779.9,596.45,29.66,153.79
5,01ACM-85,737.81,598.4,29.64,109.77
6,01ACM-85,732.7,595.35,30.52,106.84
7,01ACM-85,886.45,596.83,32.44,257.19
8,01ACM-85,926.75,573.41,29.61,323.74
9,01ACM-85,931.1,576.71,28.65,325.74
10,01ACM-85,932.35,585.35,31.82,315.17
11,01ACM-85,923.89,575.6,31.77,316.52
12,01ACM-85,921.43,577.22,31.07,313.14
13,01ACM-85,918.47,584.21,30.72,303.54
14,01ACM-85,932.19,584.5,29.77,317.92
15,01ACM-85,932.56,582,30.2,320.36
16,01ACM-85,944.14,592.39,30.06,321.69
17,01ACM-85,953.03,606.1,30.18,316.75
18,01ACM-85,935.88,597.51,29.82,308.56
19,01ACM-85,936.36,583.41,28.96,324
20,01ACM-85,886.69,599.06,33.03,254.61
21,01ACM-85,882.63,617.8,33.68,231.15
22,01ACM-85,936.57,628.64,31.41,276.52
23,01ACM-85,927.94,623.8,30.16,273.98
24,01ACM-85,899.37,614.04,29,256.33
1,01ACN-85,869.48,616.06,34.33,219.09
2,01ACN-85,891.06,608.75,32.35,249.97
3,01ACN-85,857.82,593.1,32.4,232.33
4,01ACN-85,788.53,596.45,31.6,160.48
5,01ACN-85,744.52,598.4,31.58,114.54
6,01ACN-85,739.35,595.35,32.51,111.49
7,01ACN-85,899.75,596.83,34.54,268.38
8,01ACN-85,941.48,573.41,31.57,336.5
9,01ACN-85,945.72,576.71,30.7,338.32
10,01ACN-85,952.62,585.35,34.78,332.49
11,01ACN-85,944.29,575.6,34.79,333.91
12,01ACN-85,941.59,577.22,34.03,330.34
13,01ACN-85,938.06,584.21,33.63,320.22
14,01ACN-85,952.63,584.5,32.74,335.39
15,01ACN-85,953.11,582,33.09,338.02
16,01ACN-85,964.67,592.39,32.86,339.42
17,01ACN-85,967.57,606.1,32.23,329.24
18,01ACN-85,950.03,597.51,31.81,320.72
19,01ACN-85,950.98,583.41,30.81,336.77
20,01ACN-85,899.91,599.06,35.17,265.69
21,01ACN-85,894.8,617.8,35.79,241.21
22,01ACN-85,950.51,628.64,33.32,288.55
23,01ACN-85,941.53,623.8,31.83,285.9
24,01ACN-85,912.18,614.04,30.65,267.48
1,01ACO-230,664.96,616.06,25.02,23.88
2,01ACO-230,659.29,608.75,23.31,27.24
3,01ACO-230,642.01,593.1,23.59,25.32
4,01ACO-230,636.46,596.45,22.52,17.49
5,01ACO-230,633.28,598.4,22.39,12.48
6,01ACO-230,630.84,595.35,23.35,12.15
7,01ACO-230,651.08,596.83,25.01,29.25
8,01ACO-230,672.3,573.41,23.31,75.58
9,01ACO-230,674.83,576.71,21.96,76.17
10,01ACO-230,684.93,585.35,24.73,74.85
11,01ACO-230,675.53,575.6,24.76,75.17
12,01ACO-230,676.04,577.22,24.41,74.41
13,01ACO-230,680.17,584.21,23.83,72.13
14,01ACO-230,683.21,584.5,23.17,75.55
15,01ACO-230,681.03,582,23.52,75.51
16,01ACO-230,691.2,592.39,22.99,75.81
17,01ACO-230,702.31,606.1,22.39,73.82
18,01ACO-230,691.77,597.51,22.2,72.06
19,01ACO-230,680.84,583.41,21.79,75.65
20,01ACO-230,652.4,599.06,24.39,28.96
21,01ACO-230,668.83,617.8,24.74,26.29
22,01ACO-230,683.42,628.64,23.33,31.45
23,01ACO-230,677.13,623.8,22.17,31.16
24,01ACO-230,664.44,614.04,21.25,29.15
1,01ACS-230,606.16,616.06,22.98,-32.89
2,01ACS-230,592.63,608.75,21.41,-37.53
3,01ACS-230,579.91,593.1,21.69,-34.88
4,01ACS-230,592.98,596.45,20.63,-24.09
5,01ACS-230,601.66,598.4,20.46,-17.2
6,01ACS-230,600.06,595.35,21.45,-16.74
7,01ACS-230,579.62,596.83,23.08,-40.29
